,X3.26,X0.829,X1.676,X0,X1,X1.453,X3.770
1,2.189,0.58,0.863,0,0,1.348,3.115
2,2.125,0.638,0.831,0,0,1.348,3.531
3,3.027,0.331,1.472,1,0,1.807,3.51
4,2.094,0.827,0.86,0,0,1.886,5.39
5,3.222,0.331,2.177,0,0,0.706,1.819
6,3.179,0,1.063,0,0,2.942,3.947
7,3,0,0.938,1,0,2.851,3.513
8,2.62,0.499,0.99,0,0,2.942,4.402
9,2.834,0.134,0.95,0,0,1.591,3.021
10,2.405,0.134,0.843,0,0,1.769,3.21
11,2.728,0.223,0.953,0,0,1.591,2.371
12,2.512,0.223,0.929,1,0,1.769,3.919
13,2.834,0.134,1.237,0,0,1.859,3.03
14,2.819,0.331,1.271,0,1,0.981,2.736
15,2.126,0.251,1.114,0,0,0.143,2.157
16,2.834,0.134,1.322,0,0,1.199,2.413
17,3.014,0.56,1.781,0,0,-0.115,0.898
18,3.024,0.452,2.698,0,0,1.107,0.45
19,3.036,0.405,1.205,1,0,1.807,3.733
20,2.707,0.972,1.889,0,3,-1.169,2.976
21,2.978,1.246,1.103,0,1,3.988,6.535
22,3.111,0.732,0.923,0,0,4.068,5.643
23,3.315,0.223,0.96,0,0,3.395,4.629
24,2.71,0.93,0.724,0,0,2.526,4.838
25,3.326,0.647,0.986,0,1,3.112,4.081
26,3.332,0.134,1.294,0,0,2.51,3.436
27,3.896,0.134,1.984,0,0,2.591,3.45
28,3.155,0.638,2.128,0,0,-0.937,1.102
29,2.479,0.887,0.954,0,0,1.748,4.257
30,1.075,1.161,0.865,0,1,0.024,5.386
31,3.645,0.223,1.155,0,0,2.837,3.393
32,3.079,0.429,2.135,0,0,-0.521,1.308
33,3.332,0.134,1.519,0,0,2.242,3.554
34,2.726,0.496,1.179,0,1,1.06,2.269
35,3.532,0.134,1.11,0,0,2.813,4.165
36,4.216,0.223,1.248,0,0,5.089,5.896
37,3.605,0,1.15,0,0,3.562,4.829
38,2.918,0.223,0.944,3,0,2.066,4.59
39,3.833,0.405,1.522,0,1,3.492,2.092
40,3.669,0.223,1.599,0,0,2.274,3.665
41,2.824,0.223,1,1,0,2.102,3.56
42,2.233,0.64,0.92,1,0,2.37,4.805
43,3.103,0.134,1.344,0,0,1.533,3.174
44,4.413,0.56,1.17,1,2,3.906,7.899
45,3.641,0.331,1.933,0,1,1.565,2.67
46,3.073,0.693,1.851,0,2,0.787,4.016
47,3.012,0.223,1.023,0,0,2.193,3.857
48,3.818,0.693,1.627,2,2,2.217,5.522
49,4.171,0.693,1.678,0,2,2.849,4.851
50,3.734,0.223,1.45,2,1,2.642,3.84
51,3.734,0.223,1.374,2,2,2.642,4.586
52,2.126,0.977,0.771,0,0,3.795,5.284
53,2.216,0.679,0.764,0,0,2.296,3.559
54,3.179,0,1.063,0,0,2.942,4.091
55,2.62,0.499,0.99,0,0,3.21,4.33
56,2.728,0.223,0.953,0,0,1.859,3.755
57,2.126,0.83,0.899,0,0,3.478,4.552
58,2.216,0.582,0.839,0,0,2.127,3.62
59,2.086,0.64,0.838,0,0,2.127,4.459
60,2.834,0.134,0.95,0,0,1.859,2.827
61,2.126,0.405,0.917,4,2,0.411,6.38
62,3.08,0.405,1.609,1,1,1.619,4.786
63,1.636,0.64,1.695,0,0,0.408,3.861
64,2.219,0.604,1.537,0,0,2.026,3.262
65,1.594,0.223,1.333,2,0,0.094,6.297
66,1.818,0.499,1.468,1,0,1.672,3.546
67,1.5,0.83,1.891,0,0,1.817,2.92
68,1.512,0.64,1.844,0,0,0.347,3.203
69,2.56,0.134,1.758,0,0,0.347,2.283
70,1.818,0.134,1.445,0,0,0.202,1.559
71,1.359,0.134,1.13,1,0,0.094,3.47
72,0.667,0.582,1.361,0,0,0.202,4.748
73,2.333,0.251,1.946,0,0,-1.053,2.576
74,2.026,0.223,1.429,1,0,0.202,5.259
75,1.594,0.223,1.068,0,0,0.202,4.564
76,0.965,0.64,1.695,1,0,0.202,4.37
77,1.951,0.405,1.878,0,0,-1.053,0.053
78,1,0.405,1.5,2,0,-1.306,2.381
79,1.512,0.331,1.627,1,0,-0.386,2.891
80,3.219,0.405,1.605,0,0,0.706,1.088
81,3.74,0.134,1.581,0,0,2.274,3.721
82,3.669,0.486,1.374,0,0,3.291,3.701
83,3.57,1.374,2.259,0,0,2.05,6.083
84,5.926,0.134,1.671,0,0,6.203,4.628
85,3.802,0.405,1.527,1,0,1.869,3.7
86,2.802,0.223,1.6,0,1,1.064,1.842
87,2.242,1.096,1.907,0,1,-1.96,3.396
88,1.94,0.749,1.066,0,0,1.492,2.99
89,2.126,0.405,1.69,1,1,0.479,3.573
90,3.08,0.223,1.583,0,1,1.442,2.271
91,3.277,0.223,1.869,0,0,1.587,2.085
92,3.179,0,1.063,0,0,2.942,3.822
93,2.728,0.223,0.953,0,0,1.859,3.29
94,2.62,0.499,0.99,0,0,3.21,3.84
95,2.216,0.582,0.839,0,0,2.127,3.979
96,2.834,0.134,0.95,0,0,1.859,3.47
97,2.359,0.405,0.814,0,0,0.893,3.314
98,2.565,0.693,1.987,0,2,0.057,4.031
99,2.085,1.079,0.895,0,0,4.063,4.74
100,2.26,0.604,0.836,0,0,3.045,4.194
101,2.91,0,1,0,0,2.608,3.447
102,2.512,0.134,1.293,0,0,0.846,2.364
103,2.26,0.499,0.907,0,0,2.876,3.645
104,3.08,0.223,1.385,0,0,1.195,2.07
105,2.866,0.223,1.333,0,1,1.05,2.27
106,2.386,0.223,0.857,0,0,1.506,3.513
107,2.512,0.134,1.293,0,0,0.846,2.811
108,3.509,0.854,1.478,0,0,2.248,2.832
109,2.98,0.251,2.261,0,0,-0.063,1.639
110,2.512,0.134,1.293,0,0,0.846,2.016
111,2.98,0.251,1.959,0,0,-0.063,1.651
112,3.462,0.405,1.717,0,1,2.06,4.097
113,2.755,0.405,1.559,0,1,0.996,3.123
