,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
1,4.5878,1018.7,83.675,3.5758,23.979,1086.2,549.83,134.67,11.898,0.32663,81.952
2,4.2932,1018.3,84.235,3.5709,23.951,1086.1,550.05,134.67,11.892,0.44784,82.377
3,3.9045,1018.4,84.858,3.5828,23.99,1086.5,550.19,135.1,12.042,0.45144,83.776
4,3.7436,1018.3,85.434,3.5808,23.911,1086.5,550.17,135.03,11.99,0.23107,82.505
5,3.7516,1017.8,85.182,3.5781,23.917,1085.9,550,134.67,11.91,0.26747,82.028
6,3.8858,1017.7,83.946,3.5824,23.903,1086,549.98,134.67,11.868,0.23473,81.748
7,3.6697,1018,84.114,3.5804,23.889,1085.9,550.04,134.68,11.877,0.44412,84.592
8,3.5892,1018.2,83.867,3.5777,23.876,1086,549.88,134.66,11.893,0.79996,84.193
9,3.7108,1018.5,84.948,3.6027,23.957,1086.3,549.98,134.65,11.87,0.68996,83.978
10,4.8281,1018.5,85.346,3.5158,23.422,1083.1,549.8,132.67,11.694,1.0281,82.654
11,6.0334,1018.4,86.054,3.5748,23.989,1085.8,550.04,135.24,11.804,1.0214,81.952
12,7.9896,1017.9,87.541,4.3905,30.128,1094.5,534.81,152.6,13.333,0.94292,73.286
13,9.8712,1017.2,84.249,4.6983,32.341,1100.2,530.58,159.99,13.929,1.0428,70.558
14,10.722,1016.5,80.263,4.7526,32.739,1100.2,528.93,160.6,14.049,1.3484,71.115
15,11.017,1016.3,78.128,4.744,32.672,1100.1,529.06,160.4,14.018,1.0686,70.107
16,10.946,1016.2,77.96,4.6919,32.424,1100.3,530.67,160.09,13.945,0.21538,67.415
17,10.755,1015.9,79.267,4.7117,32.632,1100.2,529.35,160.66,14.025,0.23574,67.49
18,10.175,1015.8,81.423,4.6407,32.286,1099.8,530.67,160.64,13.826,0.62972,66.863
19,9.5069,1015.7,82.518,4.6187,32.218,1099.8,530.75,160.84,13.913,0.57439,67.361
20,5.388,1014.3,90.459,3.63,24.064,1084.8,549.11,134.26,11.814,0.52213,82.137
21,5.4906,1013.9,88.626,3.2829,21.254,1069.3,549.65,121.95,11.132,1.1662,84.908
22,5.4522,1013.6,87.772,3.6333,23.994,1085.1,549.71,133.51,11.792,0.46707,82.951
