X,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,0.625,0.714,0.382,0.688,0.56,0.5
2,0.599,0.431,0.737,0.634,0.68,0.725
3,0.518,0.59,0.443,0.777,0.56,0.2
4,0.396,0.32,0.682,0.788,0.32,0.5
5,0.219,0.351,0.381,0.2,0.56,0.275
6,0.262,0.243,0.62,0.679,0.44,0.35
7,0.8,0.778,0.462,0.46,0.8,0.65
8,0.627,0.693,0.415,0.716,0.56,0.35
9,0.593,0.572,0.536,0.63,0.44,0.575
10,0.502,0.682,0.263,0.39,0.68,0.425
11,0.651,0.481,0.738,0.736,0.56,0.65
12,0.505,0.653,0.322,0.555,0.56,0.5
13,0.574,0.624,0.419,0.355,0.68,0.65
14,0.311,0.239,0.656,0.432,0.32,0.425
15,0.447,0.577,0.342,0.354,0.68,0.425
16,0.2,0.2,0.582,0.42,0.32,0.275
17,0.55,0.713,0.29,0.568,0.8,0.35
18,0.715,0.487,0.8,0.765,0.68,0.8
19,0.535,0.611,0.424,0.681,0.56,0.5
20,0.32,0.261,0.679,0.8,0.44,0.425
21,0.302,0.339,0.5,0.321,0.32,0.5
22,0.779,0.745,0.492,0.549,0.56,0.725
23,0.597,0.656,0.412,0.479,0.56,0.425
24,0.547,0.652,0.367,0.557,0.68,0.5
25,0.637,0.593,0.557,0.636,0.56,0.575
26,0.471,0.427,0.575,0.387,0.44,0.5
27,0.624,0.731,0.333,0.43,0.56,0.5
28,0.43,0.406,0.562,0.431,0.32,0.425
29,0.327,0.533,0.258,0.222,0.56,0.35
30,0.406,0.293,0.701,0.539,0.32,0.425
31,0.332,0.547,0.248,0.274,0.56,0.425
32,0.75,0.778,0.413,0.514,0.56,0.575
33,0.589,0.676,0.39,0.65,0.56,0.425
34,0.715,0.637,0.585,0.681,0.56,0.5
35,0.47,0.624,0.317,0.515,0.56,0.575
36,0.621,0.481,0.706,0.746,0.44,0.725
37,0.556,0.616,0.438,0.659,0.44,0.5
38,0.605,0.703,0.352,0.459,0.68,0.5
39,0.486,0.351,0.711,0.534,0.32,0.65
40,0.504,0.629,0.348,0.515,0.56,0.425
41,0.2,0.218,0.573,0.58,0.2,0.35
42,0.675,0.682,0.469,0.573,0.44,0.575
43,0.601,0.585,0.505,0.411,0.68,0.575
44,0.396,0.421,0.499,0.366,0.32,0.5
45,0.486,0.678,0.245,0.311,0.56,0.5
46,0.414,0.422,0.524,0.435,0.56,0.65
47,0.749,0.759,0.448,0.612,0.56,0.425
48,0.649,0.729,0.371,0.511,0.56,0.575
49,0.543,0.697,0.309,0.607,0.56,0.575
50,0.729,0.704,0.508,0.663,0.68,0.65
51,0.648,0.66,0.451,0.364,0.8,0.725
52,0.65,0.744,0.349,0.495,0.68,0.575
53,0.593,0.528,0.586,0.542,0.56,0.5
54,0.352,0.598,0.2,0.255,0.56,0.425
55,0.484,0.363,0.703,0.631,0.44,0.65
56,0.405,0.573,0.309,0.461,0.56,0.35
57,0.523,0.6,0.397,0.362,0.56,0.575
58,0.705,0.8,0.342,0.577,0.56,0.5
59,0.719,0.708,0.471,0.475,0.56,0.575
60,0.516,0.56,0.446,0.399,0.56,0.65
61,0.533,0.749,0.21,0.432,0.56,0.425
62,0.57,0.553,0.523,0.498,0.56,0.8
63,0.564,0.67,0.349,0.403,0.56,0.65
64,0.228,0.508,0.244,0.317,0.371,0.4
65,0.589,0.482,0.587,0.367,0.543,0.6
66,0.31,0.325,0.492,0.426,0.286,0.4
67,0.733,0.491,0.8,0.8,0.543,0.6
68,0.633,0.635,0.466,0.2,0.8,0.3
69,0.254,0.2,0.538,0.393,0.286,0.6
70,0.495,0.765,0.258,0.284,0.543,0.5
71,0.266,0.351,0.43,0.428,0.286,0.4
72,0.488,0.517,0.47,0.352,0.371,0.6
73,0.368,0.7,0.2,0.26,0.457,0.6
74,0.8,0.618,0.686,0.544,0.457,0.6
75,0.392,0.399,0.496,0.397,0.457,0.3
76,0.403,0.669,0.247,0.208,0.543,0.3
77,0.649,0.584,0.534,0.272,0.457,0.7
78,0.468,0.535,0.424,0.278,0.457,0.4
79,0.661,0.529,0.621,0.447,0.629,0.3
80,0.2,0.465,0.252,0.301,0.286,0.4
81,0.531,0.529,0.502,0.38,0.371,0.6
82,0.274,0.319,0.463,0.412,0.286,0.4
83,0.538,0.503,0.597,0.659,0.371,0.6
84,0.45,0.426,0.497,0.272,0.457,0.4
85,0.39,0.556,0.356,0.361,0.371,0.5
86,0.586,0.74,0.367,0.339,0.457,0.5
87,0.355,0.557,0.321,0.341,0.457,0.3
88,0.617,0.632,0.492,0.387,0.457,0.5
89,0.465,0.654,0.313,0.216,0.543,0.5
90,0.389,0.493,0.402,0.336,0.457,0.3
91,0.484,0.484,0.483,0.297,0.457,0.4
92,0.412,0.67,0.252,0.205,0.543,0.4
93,0.73,0.561,0.646,0.417,0.629,0.6
94,0.407,0.462,0.432,0.272,0.371,0.4
95,0.406,0.651,0.282,0.314,0.543,0.5
96,0.204,0.334,0.384,0.4,0.2,0.5
97,0.517,0.539,0.486,0.395,0.371,0.6
98,0.38,0.623,0.279,0.292,0.371,0.5
99,0.698,0.65,0.558,0.459,0.457,0.6
100,0.481,0.512,0.483,0.417,0.371,0.5
101,0.317,0.6,0.235,0.252,0.457,0.4
102,0.626,0.517,0.579,0.326,0.457,0.8
103,0.35,0.375,0.471,0.364,0.371,0.4
104,0.68,0.473,0.716,0.598,0.371,0.5
105,0.467,0.61,0.374,0.337,0.457,0.4
106,0.432,0.586,0.353,0.29,0.457,0.5
107,0.608,0.69,0.415,0.278,0.543,0.5
108,0.325,0.517,0.311,0.249,0.371,0.3
109,0.63,0.538,0.571,0.347,0.371,0.6
110,0.399,0.564,0.363,0.389,0.371,0.5
111,0.568,0.8,0.295,0.305,0.457,0.7
112,0.334,0.496,0.362,0.387,0.2,0.3
113,0.546,0.578,0.479,0.393,0.457,0.5
114,0.475,0.67,0.323,0.306,0.629,0.6
115,0.321,0.442,0.389,0.356,0.457,0.5
116,0.518,0.55,0.464,0.325,0.457,0.7
117,0.442,0.653,0.298,0.242,0.457,0.2
118,0.796,0.704,0.582,0.419,0.457,0.6
119,0.419,0.495,0.423,0.314,0.457,0.5
120,0.474,0.604,0.375,0.296,0.543,0.4
121,0.484,0.634,0.37,0.348,0.371,0.4
122,0.385,0.516,0.383,0.354,0.543,0.6
123,0.562,0.666,0.398,0.289,0.543,0.6
124,0.378,0.558,0.336,0.325,0.286,0.4
125,0.6,0.561,0.529,0.349,0.457,0.4
126,0.469,0.595,0.381,0.311,0.543,0.5
127,0.647,0.688,0.8,0.8,0.457,0.65
128,0.492,0.495,0.488,0.461,0.286,0.65
129,0.791,0.8,0.58,0.671,0.457,0.725
130,0.218,0.264,0.681,0.764,0.2,0.275
131,0.274,0.263,0.406,0.333,0.371,0.575
132,0.387,0.423,0.716,0.703,0.286,0.425
133,0.795,0.762,0.233,0.318,0.714,0.725
134,0.738,0.76,0.623,0.71,0.457,0.575
135,0.765,0.745,0.356,0.416,0.714,0.725
136,0.605,0.608,0.406,0.476,0.629,0.5
137,0.447,0.445,0.364,0.392,0.371,0.65
138,0.688,0.697,0.473,0.572,0.543,0.725
139,0.568,0.573,0.497,0.482,0.543,0.725
140,0.383,0.362,0.246,0.2,0.371,0.8
141,0.596,0.587,0.339,0.375,0.629,0.8
142,0.2,0.2,0.434,0.45,0.286,0.5
143,0.617,0.64,0.62,0.654,0.457,0.575
144,0.605,0.602,0.403,0.454,0.457,0.65
145,0.662,0.683,0.554,0.657,0.457,0.5
146,0.354,0.383,0.544,0.639,0.286,0.2
147,0.324,0.333,0.576,0.504,0.371,0.425
148,0.8,0.781,0.371,0.459,0.8,0.725
149,0.725,0.695,0.2,0.276,0.8,0.8
150,0.708,0.708,0.437,0.522,0.629,0.5
151,0.666,0.654,0.336,0.398,0.714,0.65
152,0.593,0.571,0.203,0.243,0.714,0.725
153,0.685,0.688,0.501,0.538,0.543,0.8
154,0.585,0.564,0.223,0.246,0.714,0.8
155,0.51,0.5,0.337,0.325,0.457,0.65
156,0.325,0.308,0.273,0.255,0.371,0.65
157,0.537,0.529,0.342,0.348,0.543,0.8
158,0.76,0.733,0.227,0.345,0.714,0.65
159,0.688,0.708,0.577,0.661,0.457,0.5
160,0.776,0.763,0.397,0.489,0.629,0.65
161,0.525,0.528,0.355,0.448,0.543,0.425
162,0.539,0.532,0.283,0.374,0.457,0.575
163,0.63,0.645,0.483,0.593,0.543,0.5
164,0.602,0.622,0.632,0.622,0.543,0.65
165,0.48,0.464,0.307,0.275,0.286,0.725
166,0.656,0.661,0.469,0.528,0.543,0.575
