,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1,01-01-15,Quarter1,sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424
2,01-01-15,Quarter1,finishing ,Thursday,1,0.75,3.94,NA,960,0,0,0,0,8,0.8865
3,01-01-15,Quarter1,sweing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
4,01-01-15,Quarter1,sweing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
5,01-01-15,Quarter1,sweing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944
6,01-01-15,Quarter1,sweing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,0.800125
7,01-01-15,Quarter1,finishing ,Thursday,2,0.75,3.94,NA,960,0,0,0,0,8,0.755166667
8,01-01-15,Quarter1,sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
9,01-01-15,Quarter1,sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531
10,01-01-15,Quarter1,sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
11,01-01-15,Quarter1,sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957
12,01-01-15,Quarter1,sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247
13,01-01-15,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902
14,01-01-15,Quarter1,finishing ,Thursday,10,0.65,3.94,NA,960,0,0,0,0,8,0.705916667
15,01-01-15,Quarter1,finishing ,Thursday,8,0.75,2.9,NA,960,0,0,0,0,8,0.676666667
16,01-01-15,Quarter1,finishing ,Thursday,4,0.75,3.94,NA,2160,0,0,0,0,18,0.593055556
17,01-01-15,Quarter1,finishing ,Thursday,7,0.8,2.9,NA,960,0,0,0,0,8,0.540729167
18,01-01-15,Quarter1,sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118
19,01-01-15,Quarter1,finishing,Thursday,11,0.7,4.15,NA,1440,0,0,0,0,12,0.436326389
20,01-03-15,Quarter1,finishing ,Saturday,4,0.8,4.15,NA,6600,0,0,0,0,20,0.988024691
21,01-03-15,Quarter1,finishing ,Saturday,11,0.75,2.9,NA,5640,0,0,0,0,17,0.987880435
22,01-03-15,Quarter1,finishing ,Saturday,9,0.8,4.15,NA,960,0,0,0,0,8,0.956270833
23,01-03-15,Quarter1,finishing ,Saturday,3,0.75,3.94,NA,1560,0,0,0,0,8,0.945277778
24,01-03-15,Quarter1,finishing ,Saturday,1,0.8,3.94,NA,960,0,0,0,0,8,0.902916667
25,01-03-15,Quarter1,sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
26,01-03-15,Quarter1,sweing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
27,01-03-15,Quarter1,sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644
28,01-03-15,Quarter1,sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644
29,01-03-15,Quarter1,sweing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
30,01-03-15,Quarter1,sweing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
31,01-03-15,Quarter1,sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
